; Quintessential Latin 0.240; proposed private-use allocation, not a registration.
F2A00	QUINTESSENTIAL LATIN LETTER BOWL
F2E13	QUINTESSENTIAL LATIN LETTER HIP WITH STEM AND TWO ASCENDERS
F2E14	QUINTESSENTIAL LATIN LETTER HIP WITH ASCENDER AND STEM AND LONG STEM
F2E15	QUINTESSENTIAL LATIN LETTER HIP WITH STEM AND ASCENDER AND LONG STEM
F2E16	QUINTESSENTIAL LATIN LETTER HIP WITH ASCENDER AND STEM AND LONG TAIL
F2E17	QUINTESSENTIAL LATIN LETTER HIP WITH STEM AND ASCENDER AND LONG TAIL
F2E18	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND STEM AND BOWL
F2E19	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH DESCENDER AND BOWL
F2E1A	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND STEM AND BOWL
F2E1B	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND DESCENDER AND BOWL
F2E1C	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND STEM AND BOWL
F2E1D	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND DESCENDER AND BOWL
F2E1E	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH STEM AND BOWL
F2E1F	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND DESCENDER AND BOWL
F2E20	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND STEM AND BOWL
F2E21	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND DESCENDER AND BOWL
F2E22	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND STEM AND BOWL
F2E23	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND DESCENDER AND BOWL
F2E24	QUINTESSENTIAL LATIN LETTER BOWL WITH ASCENDER AND TWO STEMS
F2E25	QUINTESSENTIAL LATIN LETTER BOWL WITH STEM AND ASCENDER AND STEM
F2E26	QUINTESSENTIAL LATIN LETTER BOWL WITH ASCENDER AND STEM AND DESCENDER
F2E27	QUINTESSENTIAL LATIN LETTER BOWL WITH STEM AND ASCENDER AND DESCENDER
F2E28	QUINTESSENTIAL LATIN LETTER BOWL WITH ASCENDER AND STEM AND TAIL
F2E29	QUINTESSENTIAL LATIN LETTER BOWL WITH STEM AND ASCENDER AND TAIL
F2E2A	QUINTESSENTIAL LATIN LETTER BOWL WITH ASCENDER AND STEM AND ASCENDER
F2E2B	QUINTESSENTIAL LATIN LETTER BOWL WITH STEM AND TWO ASCENDERS
F2E2C	QUINTESSENTIAL LATIN LETTER BOWL WITH ASCENDER AND STEM AND LONG STEM
F2E2D	QUINTESSENTIAL LATIN LETTER BOWL WITH STEM AND ASCENDER AND LONG STEM
F2E2E	QUINTESSENTIAL LATIN LETTER BOWL WITH ASCENDER AND STEM AND LONG TAIL
F2E2F	QUINTESSENTIAL LATIN LETTER BOWL WITH STEM AND ASCENDER AND LONG TAIL
F2E30	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND STEM AND LEG
F2E31	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH DESCENDER AND LEG
F2E32	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND STEM AND LEG
F2E33	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND DESCENDER AND LEG
F2E34	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND STEM AND LEG
F2E35	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND DESCENDER AND LEG
F2E36	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH STEM AND LEG
F2E37	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND DESCENDER AND LEG
F2E38	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND STEM AND LEG
F2E39	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND DESCENDER AND LEG
F2E3A	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND STEM AND LEG
F2E3B	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND DESCENDER AND LEG
F2E3C	QUINTESSENTIAL LATIN LETTER ARM WITH ASCENDER AND TWO STEMS
F2E3D	QUINTESSENTIAL LATIN LETTER ARM WITH STEM AND ASCENDER AND STEM
F2E3E	QUINTESSENTIAL LATIN LETTER ARM WITH ASCENDER AND STEM AND DESCENDER
F2E3F	QUINTESSENTIAL LATIN LETTER ARM WITH STEM AND ASCENDER AND DESCENDER
F2E40	QUINTESSENTIAL LATIN LETTER ARM WITH ASCENDER AND STEM AND TAIL
F2E41	QUINTESSENTIAL LATIN LETTER ARM WITH STEM AND ASCENDER AND TAIL
F2E42	QUINTESSENTIAL LATIN LETTER ARM WITH ASCENDER AND STEM AND ASCENDER
F2E43	QUINTESSENTIAL LATIN LETTER ARM WITH STEM AND TWO ASCENDERS
F2E44	QUINTESSENTIAL LATIN LETTER ARM WITH ASCENDER AND STEM AND LONG STEM
F2E45	QUINTESSENTIAL LATIN LETTER ARM WITH STEM AND ASCENDER AND LONG STEM
F2E46	QUINTESSENTIAL LATIN LETTER ARM WITH ASCENDER AND STEM AND LONG TAIL
F2E47	QUINTESSENTIAL LATIN LETTER ARM WITH STEM AND ASCENDER AND LONG TAIL
F2E48	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND STEM AND LONG LEG
F2E49	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH DESCENDER AND LONG LEG
F2E4A	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND STEM AND LONG LEG
F2E4B	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND DESCENDER AND LONG LEG
F2E4C	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND STEM AND LONG LEG
F2E4D	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND DESCENDER AND LONG LEG
F2E4E	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH STEM AND LONG LEG
F2E4F	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND DESCENDER AND LONG LEG
F2E50	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND STEM AND LONG LEG
F2E51	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND DESCENDER AND LONG LEG
F2E52	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND STEM AND LONG LEG
F2E53	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND DESCENDER AND LONG LEG
F2E54	QUINTESSENTIAL LATIN LETTER LONG ARM WITH ASCENDER AND TWO STEMS
F2E55	QUINTESSENTIAL LATIN LETTER LONG ARM WITH STEM AND ASCENDER AND STEM
F2E56	QUINTESSENTIAL LATIN LETTER LONG ARM WITH ASCENDER AND STEM AND DESCENDER
F2E57	QUINTESSENTIAL LATIN LETTER LONG ARM WITH STEM AND ASCENDER AND DESCENDER
F2E58	QUINTESSENTIAL LATIN LETTER LONG ARM WITH ASCENDER AND STEM AND TAIL
F2E59	QUINTESSENTIAL LATIN LETTER LONG ARM WITH STEM AND ASCENDER AND TAIL
F2E5A	QUINTESSENTIAL LATIN LETTER LONG ARM WITH ASCENDER AND STEM AND ASCENDER
F2E5B	QUINTESSENTIAL LATIN LETTER LONG ARM WITH STEM AND TWO ASCENDERS
F2E5C	QUINTESSENTIAL LATIN LETTER LONG ARM WITH ASCENDER AND STEM AND LONG STEM
F2E5D	QUINTESSENTIAL LATIN LETTER LONG ARM WITH STEM AND ASCENDER AND LONG STEM
F2E5E	QUINTESSENTIAL LATIN LETTER LONG ARM WITH ASCENDER AND STEM AND LONG TAIL
F2E5F	QUINTESSENTIAL LATIN LETTER LONG ARM WITH STEM AND ASCENDER AND LONG TAIL
F2E60	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND STEM AND LONG OPEN BOWL
F2E61	QUINTESSENTIAL LATIN LETTER THREE STEMS WITH LONG BOWL
F2E62	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND STEM AND LONG OPEN BOWL
F2E63	QUINTESSENTIAL LATIN LETTER ASCENDER WITH TWO STEMS AND LONG BOWL
F2E64	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND STEM AND LONG OPEN BOWL
F2E65	QUINTESSENTIAL LATIN LETTER HOOK WITH TWO STEMS AND LONG BOWL
F2E66	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH STEM AND LONG OPEN BOWL
F2E67	QUINTESSENTIAL LATIN LETTER DESCENDER WITH TWO STEMS AND LONG BOWL
F2E68	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND STEM AND LONG OPEN BOWL
F2E69	QUINTESSENTIAL LATIN LETTER LONG STEM WITH TWO STEMS AND LONG BOWL
F2E6A	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND STEM AND LONG OPEN BOWL
F2E6B	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH TWO STEMS AND LONG BOWL
F2E6C	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH THREE STEMS
F2E6D	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH STEM AND ASCENDER AND STEM
F2E6E	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH TWO STEMS AND DESCENDER
F2E6F	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH STEM AND ASCENDER AND DESCENDER
F2E70	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH TWO STEMS AND TAIL
F2E71	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH STEM AND ASCENDER AND TAIL
F2E72	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH TWO STEMS AND ASCENDER
F2E73	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH STEM AND TWO ASCENDERS
F2E74	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH TWO STEMS AND LONG STEM
F2E75	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH STEM AND ASCENDER AND LONG STEM
F2E76	QUINTESSENTIAL LATIN LETTER LONG BOWL WITH TWO STEMS AND LONG TAIL
F2E77	QUINTESSENTIAL LATIN LETTER LONG OPEN BOWL WITH STEM AND ASCENDER AND LONG TAIL
F2E78	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND STEM AND DOUBLE BOWL
F2E79	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH DESCENDER AND DOUBLE BOWL
F2E7A	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND STEM AND DOUBLE BOWL
F2E7B	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND DESCENDER AND DOUBLE BOWL
F2E7C	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND STEM AND DOUBLE BOWL
F2E7D	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND DESCENDER AND DOUBLE BOWL
F2E7E	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH STEM AND DOUBLE BOWL
F2E7F	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND DESCENDER AND DOUBLE BOWL
F2E80	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND STEM AND DOUBLE BOWL
F2E81	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND DESCENDER AND DOUBLE BOWL
F2E82	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND STEM AND DOUBLE BOWL
F2E83	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND DESCENDER AND DOUBLE BOWL
F2E84	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH ASCENDER AND TWO STEMS
F2E85	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH STEM AND ASCENDER AND STEM
F2E86	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH ASCENDER AND STEM AND DESCENDER
F2E87	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH STEM AND ASCENDER AND DESCENDER
F2E88	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH ASCENDER AND STEM AND TAIL
F2E89	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH STEM AND ASCENDER AND TAIL
F2E8A	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH ASCENDER AND STEM AND ASCENDER
F2E8B	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH STEM AND TWO ASCENDERS
F2E8C	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH ASCENDER AND STEM AND LONG STEM
F2E8D	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH STEM AND ASCENDER AND LONG STEM
F2E8E	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH ASCENDER AND STEM AND LONG TAIL
F2E8F	QUINTESSENTIAL LATIN LETTER DOUBLE BOWL WITH STEM AND ASCENDER AND LONG TAIL
F2E90	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND STEM AND SPINE
F2E91	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH DESCENDER AND SPINE
F2E92	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND STEM AND SPINE
F2E93	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND DESCENDER AND SPINE
F2E94	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND STEM AND SPINE
F2E95	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND DESCENDER AND SPINE
F2E96	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH STEM AND SPINE
F2E97	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND DESCENDER AND SPINE
F2E98	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND STEM AND SPINE
F2E99	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND DESCENDER AND SPINE
F2E9A	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND STEM AND SPINE
F2E9B	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND DESCENDER AND SPINE
F2E9C	QUINTESSENTIAL LATIN LETTER SPINE WITH ASCENDER AND TWO STEMS
F2E9D	QUINTESSENTIAL LATIN LETTER SPINE WITH STEM AND ASCENDER AND STEM
F2E9E	QUINTESSENTIAL LATIN LETTER SPINE WITH ASCENDER AND STEM AND DESCENDER
F2E9F	QUINTESSENTIAL LATIN LETTER SPINE WITH STEM AND ASCENDER AND DESCENDER
F2EA0	QUINTESSENTIAL LATIN LETTER SPINE WITH ASCENDER AND STEM AND TAIL
F2EA1	QUINTESSENTIAL LATIN LETTER SPINE WITH STEM AND ASCENDER AND TAIL
F2EA2	QUINTESSENTIAL LATIN LETTER SPINE WITH ASCENDER AND STEM AND ASCENDER
F2EA3	QUINTESSENTIAL LATIN LETTER SPINE WITH STEM AND TWO ASCENDERS
F2EA4	QUINTESSENTIAL LATIN LETTER SPINE WITH ASCENDER AND STEM AND LONG STEM
F2EA5	QUINTESSENTIAL LATIN LETTER SPINE WITH STEM AND ASCENDER AND LONG STEM
F2EA6	QUINTESSENTIAL LATIN LETTER SPINE WITH ASCENDER AND STEM AND LONG TAIL
F2EA7	QUINTESSENTIAL LATIN LETTER SPINE WITH STEM AND ASCENDER AND LONG TAIL
F2EA8	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND STEM AND SPINE AND STEM
F2EA9	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH DESCENDER AND SPINE AND STEM
F2EAA	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND STEM AND SPINE AND DESCENDER
F2EAB	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH DESCENDER AND SPINE AND DESCENDER
F2EAC	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND STEM AND SPINE AND TAIL
F2EAD	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH DESCENDER AND SPINE AND TAIL
F2EAE	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND STEM AND SPINE AND ASCENDER
F2EAF	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH DESCENDER AND SPINE AND ASCENDER
F2EB0	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND STEM AND SPINE AND LONG STEM
F2EB1	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH DESCENDER AND SPINE AND LONG STEM
F2EB2	QUINTESSENTIAL LATIN LETTER STEM WITH DESCENDER AND STEM AND SPINE AND LONG TAIL
F2EB3	QUINTESSENTIAL LATIN LETTER TWO STEMS WITH DESCENDER AND SPINE AND LONG TAIL
F2EB4	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND STEM AND SPINE AND STEM
F2EB5	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND DESCENDER AND SPINE AND STEM
F2EB6	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND STEM AND SPINE AND DESCENDER
F2EB7	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND DESCENDER AND SPINE AND DESCENDER
F2EB8	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND STEM AND SPINE AND TAIL
F2EB9	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND DESCENDER AND SPINE AND TAIL
F2EBA	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND STEM AND SPINE AND ASCENDER
F2EBB	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND DESCENDER AND SPINE AND ASCENDER
F2EBC	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND STEM AND SPINE AND LONG STEM
F2EBD	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND DESCENDER AND SPINE AND LONG STEM
F2EBE	QUINTESSENTIAL LATIN LETTER ASCENDER WITH DESCENDER AND STEM AND SPINE AND LONG TAIL
F2EBF	QUINTESSENTIAL LATIN LETTER ASCENDER WITH STEM AND DESCENDER AND SPINE AND LONG TAIL
F2EC0	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND STEM AND SPINE AND STEM
F2EC1	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND DESCENDER AND SPINE AND STEM
F2EC2	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND STEM AND SPINE AND DESCENDER
F2EC3	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND DESCENDER AND SPINE AND DESCENDER
F2EC4	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND STEM AND SPINE AND TAIL
F2EC5	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND DESCENDER AND SPINE AND TAIL
F2EC6	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND STEM AND SPINE AND ASCENDER
F2EC7	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND DESCENDER AND SPINE AND ASCENDER
F2EC8	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND STEM AND SPINE AND LONG STEM
F2EC9	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND DESCENDER AND SPINE AND LONG STEM
F2ECA	QUINTESSENTIAL LATIN LETTER HOOK WITH DESCENDER AND STEM AND SPINE AND LONG TAIL
F2ECB	QUINTESSENTIAL LATIN LETTER HOOK WITH STEM AND DESCENDER AND SPINE AND LONG TAIL
F2ECC	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH STEM AND SPINE AND STEM
F2ECD	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND DESCENDER AND SPINE AND STEM
F2ECE	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH STEM AND SPINE AND DESCENDER
F2ECF	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND DESCENDER AND SPINE AND DESCENDER
F2ED0	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH STEM AND SPINE AND TAIL
F2ED1	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND DESCENDER AND SPINE AND TAIL
F2ED2	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH STEM AND SPINE AND ASCENDER
F2ED3	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND DESCENDER AND SPINE AND ASCENDER
F2ED4	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH STEM AND SPINE AND LONG STEM
F2ED5	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND DESCENDER AND SPINE AND LONG STEM
F2ED6	QUINTESSENTIAL LATIN LETTER TWO DESCENDERS WITH STEM AND SPINE AND LONG TAIL
F2ED7	QUINTESSENTIAL LATIN LETTER DESCENDER WITH STEM AND DESCENDER AND SPINE AND LONG TAIL
F2ED8	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND STEM AND SPINE AND STEM
F2ED9	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND DESCENDER AND SPINE AND STEM
F2EDA	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND STEM AND SPINE AND DESCENDER
F2EDB	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND DESCENDER AND SPINE AND DESCENDER
F2EDC	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND STEM AND SPINE AND TAIL
F2EDD	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND DESCENDER AND SPINE AND TAIL
F2EDE	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND STEM AND SPINE AND ASCENDER
F2EDF	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND DESCENDER AND SPINE AND ASCENDER
F2EE0	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND STEM AND SPINE AND LONG STEM
F2EE1	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND DESCENDER AND SPINE AND LONG STEM
F2EE2	QUINTESSENTIAL LATIN LETTER LONG STEM WITH DESCENDER AND STEM AND SPINE AND LONG TAIL
F2EE3	QUINTESSENTIAL LATIN LETTER LONG STEM WITH STEM AND DESCENDER AND SPINE AND LONG TAIL
F2EE4	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND STEM AND SPINE AND STEM
F2EE5	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND DESCENDER AND SPINE AND STEM
F2EE6	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND STEM AND SPINE AND DESCENDER
F2EE7	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND DESCENDER AND SPINE AND DESCENDER
F2EE8	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND STEM AND SPINE AND TAIL
F2EE9	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND DESCENDER AND SPINE AND TAIL
F2EEA	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND STEM AND SPINE AND ASCENDER
F2EEB	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND DESCENDER AND SPINE AND ASCENDER
F2EEC	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND STEM AND SPINE AND LONG STEM
F2EED	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND DESCENDER AND SPINE AND LONG STEM
F2EEE	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH DESCENDER AND STEM AND SPINE AND LONG TAIL
F2EEF	QUINTESSENTIAL LATIN LETTER LONG HOOK WITH STEM AND DESCENDER AND SPINE AND LONG TAIL
F2EF0	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND ASCENDER AND TWO STEMS
F2EF1	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND STEM AND ASCENDER AND STEM
F2EF2	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND ASCENDER AND STEM AND DESCENDER
F2EF3	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND STEM AND ASCENDER AND DESCENDER
F2EF4	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND ASCENDER AND STEM AND TAIL
F2EF5	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND STEM AND ASCENDER AND TAIL
F2EF6	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND ASCENDER AND STEM AND ASCENDER
F2EF7	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND STEM AND TWO ASCENDERS
F2EF8	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND ASCENDER AND STEM AND LONG STEM
F2EF9	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND STEM AND ASCENDER AND LONG STEM
F2EFA	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND ASCENDER AND STEM AND LONG TAIL
F2EFB	QUINTESSENTIAL LATIN LETTER STEM WITH SPINE AND STEM AND ASCENDER AND LONG TAIL
F2EFC	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND ASCENDER AND TWO STEMS
F2EFD	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND STEM AND ASCENDER AND STEM
F2EFE	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND ASCENDER AND STEM AND DESCENDER
F2EFF	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND STEM AND ASCENDER AND DESCENDER
F2F00	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND ASCENDER AND STEM AND TAIL
F2F01	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND STEM AND ASCENDER AND TAIL
F2F02	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND ASCENDER AND STEM AND ASCENDER
F2F03	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND STEM AND TWO ASCENDERS
F2F04	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND ASCENDER AND STEM AND LONG STEM
F2F05	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND STEM AND ASCENDER AND LONG STEM
F2F06	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND ASCENDER AND STEM AND LONG TAIL
F2F07	QUINTESSENTIAL LATIN LETTER ASCENDER WITH SPINE AND STEM AND ASCENDER AND LONG TAIL
F2F08	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND ASCENDER AND TWO STEMS
F2F09	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND STEM AND ASCENDER AND STEM
F2F0A	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND ASCENDER AND STEM AND DESCENDER
F2F0B	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND STEM AND ASCENDER AND DESCENDER
F2F0C	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND ASCENDER AND STEM AND TAIL
F2F0D	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND STEM AND ASCENDER AND TAIL
F2F0E	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND ASCENDER AND STEM AND ASCENDER
F2F0F	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND STEM AND TWO ASCENDERS
F2F10	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND ASCENDER AND STEM AND LONG STEM
F2F11	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND STEM AND ASCENDER AND LONG STEM
F2F12	QUINTESSENTIAL LATIN LETTER HOOK WITH SPINE AND ASCENDER AND STEM AND LONG TAIL
